threshold,precision,recall,f1,balanced_accuracy,precision_recall_floor
0.34,0.5225225225225225,0.8656716417910447,0.651685393258427,0.5747277127874142,0.5225225225225225
0.28,0.5,0.9253731343283582,0.6492146596858639,0.5437676482452602,0.5
0.27,0.496,0.9253731343283582,0.6458333333333334,0.5370108914885035,0.496
0.32,0.5086206896551724,0.8805970149253731,0.644808743169399,0.5551633723275514,0.5086206896551724
0.33,0.5132743362831859,0.8656716417910447,0.6444444444444445,0.5612141992739007,0.5132743362831859
0.35,0.5181818181818182,0.8507462686567164,0.6440677966101694,0.5672650262202501,0.5181818181818182
0.21,0.4782608695652174,0.9850746268656716,0.6439024390243903,0.5060508269463493,0.4782608695652174
0.24,0.48484848484848486,0.9552238805970149,0.6432160804020101,0.518152480839048,0.48484848484848486
0.29,0.4959349593495935,0.9104477611940298,0.6421052631578947,0.5363049616780959,0.4959349593495935
0.2,0.4748201438848921,0.9850746268656716,0.6407766990291263,0.49929407018959254,0.4748201438848921
0.22,0.47794117647058826,0.9701492537313433,0.6403940886699507,0.5053448971359419,0.47794117647058826
0.36,0.5185185185185185,0.835820895522388,0.64,0.5665590964098427,0.5185185185185185
0.23,0.48120300751879697,0.9552238805970149,0.64,0.5113957240822913,0.48120300751879697
0.3,0.49586776859504134,0.8955223880597015,0.6382978723404256,0.5355990318676886,0.49586776859504134
0.31,0.49586776859504134,0.8955223880597015,0.6382978723404256,0.5355990318676886,0.49586776859504134
0.26,0.484375,0.9253731343283582,0.6358974358974359,0.5167406212182332,0.484375
0.25,0.4806201550387597,0.9253731343283582,0.6326530612244898,0.5099838644614764,0.4806201550387597
0.37,0.514018691588785,0.8208955223880597,0.632183908045977,0.5590964098426785,0.514018691588785
0.38,0.5192307692307693,0.8059701492537313,0.631578947368421,0.5651472367890278,0.5192307692307693
0.41,0.5151515151515151,0.7611940298507462,0.6144578313253012,0.5562726906010488,0.5151515151515151
0.43,0.5268817204301075,0.7313432835820896,0.6125,0.5683743444937475,0.5268817204301075
0.39,0.504950495049505,0.7611940298507462,0.6071428571428571,0.5427591770875353,0.504950495049505
0.4,0.504950495049505,0.7611940298507462,0.6071428571428571,0.5427591770875353,0.504950495049505
0.44,0.5217391304347826,0.7164179104477612,0.6037735849056604,0.5609116579265833,0.5217391304347826
0.42,0.5104166666666666,0.7313432835820896,0.6012269938650306,0.5481040742234772,0.5104166666666666
0.5,0.5797101449275363,0.5970149253731343,0.5882352941176471,0.6025615167406212,0.5797101449275363
0.45,0.5111111111111111,0.6865671641791045,0.5859872611464968,0.545986284792255,0.5111111111111111
0.51,0.6031746031746031,0.5671641791044776,0.5846153846153846,0.6146631706333199,0.5671641791044776
0.46,0.5116279069767442,0.6567164179104478,0.5751633986928104,0.5445744251714402,0.5116279069767442
0.48,0.5394736842105263,0.6119402985074627,0.5734265734265734,0.5694836627672448,0.5394736842105263
0.49,0.547945205479452,0.5970149253731343,0.5714285714285714,0.5755344897135941,0.547945205479452
0.52,0.6101694915254238,0.5373134328358209,0.5714285714285714,0.6132513110125051,0.5373134328358209
0.47,0.5189873417721519,0.6119402985074627,0.5616438356164384,0.5492133924969747,0.5189873417721519
0.53,0.6,0.4925373134328358,0.5409836065573771,0.5976200080677693,0.4925373134328358
0.54,0.6153846153846154,0.47761194029850745,0.5378151260504201,0.6036708350141186,0.47761194029850745
0.55,0.6,0.44776119402985076,0.5128205128205128,0.5887454618797903,0.44776119402985076
0.56,0.5918367346938775,0.43283582089552236,0.5,0.5812827753126261,0.43283582089552236
0.57,0.5957446808510638,0.417910447761194,0.49122807017543857,0.5805768455022187,0.417910447761194
0.58,0.6097560975609756,0.373134328358209,0.46296296296296297,0.5784590560709963,0.373134328358209
0.59,0.5897435897435898,0.34328358208955223,0.4339622641509434,0.563533682936668,0.34328358208955223
0.6,0.5789473684210527,0.3283582089552239,0.41904761904761906,0.5560709963695039,0.3283582089552239
0.61,0.6060606060606061,0.29850746268656714,0.4,0.5614158935054457,0.29850746268656714
0.63,0.6333333333333333,0.2835820895522388,0.3917525773195876,0.567466720451795,0.2835820895522388
0.62,0.59375,0.2835820895522388,0.3838383838383838,0.5539532069382815,0.2835820895522388
0.64,0.6666666666666666,0.26865671641791045,0.3829787234042553,0.5735175473981444,0.26865671641791045
0.65,0.7083333333333334,0.2537313432835821,0.37362637362637363,0.5795683743444937,0.2537313432835821
0.66,0.6956521739130435,0.23880597014925373,0.35555555555555557,0.5721056877773295,0.23880597014925373
0.67,0.6666666666666666,0.208955223880597,0.3181818181818182,0.5571803146430012,0.208955223880597
0.7,1.0,0.1791044776119403,0.3037974683544304,0.5895522388059702,0.1791044776119403
0.69,0.9230769230769231,0.1791044776119403,0.3,0.5827954820492134,0.1791044776119403
0.68,0.6666666666666666,0.1791044776119403,0.2823529411764706,0.5490116982654296,0.1791044776119403
0.71,1.0,0.16417910447761194,0.28205128205128205,0.582089552238806,0.16417910447761194
0.72,1.0,0.13432835820895522,0.23684210526315788,0.5671641791044776,0.13432835820895522
0.73,1.0,0.13432835820895522,0.23684210526315788,0.5671641791044776,0.13432835820895522
0.74,1.0,0.08955223880597014,0.1643835616438356,0.5447761194029851,0.08955223880597014
0.75,1.0,0.08955223880597014,0.1643835616438356,0.5447761194029851,0.08955223880597014
0.76,1.0,0.07462686567164178,0.1388888888888889,0.5373134328358209,0.07462686567164178
0.77,1.0,0.07462686567164178,0.1388888888888889,0.5373134328358209,0.07462686567164178
0.78,1.0,0.07462686567164178,0.1388888888888889,0.5373134328358209,0.07462686567164178
0.79,1.0,0.05970149253731343,0.11267605633802817,0.5298507462686567,0.05970149253731343
0.8,1.0,0.05970149253731343,0.11267605633802817,0.5298507462686567,0.05970149253731343
